name,populationFemale,populationMale,populationUrban,adultLiteracy,educationExpenditure,gILGenderEquality,maternalMortalityRate,educationIndex,healthIndex,humanDevelopmentIndex,healthExpendature,lifeExpectancy,carbonDioxideInTons,endangeredSpeciesPercent,forrestAreaInThousandsOfHectares
Afghanistan,"15,618.48","16,739.78",22.9,,,0.707,"1,400",0.367,0.452,0.398,1.8,48.7,0,5,"1,350"
Albania,"1,606.24","1,609.75",52.9,,,0.271,31,0.721,0.898,0.739,2.9,76.9,1.3,15,779
Algeria,"17,821.51","18,158.68",67.1,,,0.412,120,0.652,0.838,0.698,3.6,73.1,3.2,13,"1,510"
Andorra,,,87.6,,,,,0.727,0.961,0.838,5.3,80.9,6.4,3,16
Angola,"9,900.16","9,718.27",59.4,70,,,610,0.422,0.49,0.486,2,51.1,1.4,4,"58,730"
Antigua and Barbuda,,,30.4,99,2.7,,,0.744,0.83,0.764,3.2,72.6,5.2,8,10
Argentina,"20,823.47","19,941.09",92.6,97.7,,0.372,70,0.806,0.882,0.797,5.1,75.9,4.8,9,"29,880"
Armenia,"1,657.23","1,443.00",64.3,99.5,,0.343,29,0.76,0.856,0.716,2.1,74.2,1.8,7,270
Australia,"11,338.99","11,266.74",89.3,,,0.136,8,0.981,0.976,0.929,6,81.9,19,22,"151,148"
Austria,"4,305.39","4,108.04",67.8,,,0.131,5,0.858,0.96,0.885,7.7,80.9,8.1,11,"3,877"
Azerbaijan,"4,699.04","4,606.99",52.1,,2.8,0.314,38,0.671,0.8,0.7,1,70.7,5.4,8,936
Bahamas,177.39,169.79,84.3,,,0.332,49,0.671,0.877,0.771,3.7,75.6,6.4,10,515
Bahrain,495.23,828.3,88.7,91.4,,0.288,19,0.747,0.868,0.806,2.6,75.1,29,8,0
Bangladesh,"74,338.17","76,155.49",28.6,55.9,,0.55,340,0.415,0.772,0.5,1.1,68.9,0.3,9,"1,447"
Barbados,138,135.93,45.1,,-6.6,0.364,64,0.747,0.896,0.793,4.4,76.8,5.3,8,8
Belarus,"5,115.85","4,443.59",75.2,99.7,4.5,,15,0.776,0.794,0.756,4.9,70.3,6.5,4,"8,552"
Belgium,"5,481.55","5,272.50",97.4,,,0.114,5,0.882,0.947,0.886,7,80,9.9,5,676
Belize,161.12,156.8,52.7,,,0.493,94,0.663,0.884,0.699,2.6,76.1,1.4,6,"1,412"
Benin,"4,609.53","4,490.39",42.5,41.7,,0.634,410,0.365,0.569,0.427,2.5,56.1,0.5,4,"4,661"
Bhutan,347.29,390.98,35.5,,,0.495,200,0.336,0.744,0.522,3.3,67.2,1.1,7,"3,227"
Bolivia,"5,054.76","5,033.35",67,,,0.476,180,0.749,0.735,0.663,3.4,66.6,1.3,4,"57,811"
Bosnia and Herzegovina,"1,948.75","1,803.48",49.2,97.8,,,9,0.723,0.878,0.733,5.6,75.7,8.3,10,"2,185"
Botswana,"1,005.61","1,025.13",61.8,84.1,8.9,0.507,190,0.693,0.523,0.633,4.3,53.2,2.5,2,"11,588"
Brazil,"99,909.74","96,745.28",86.9,,,0.449,58,0.663,0.844,0.718,3.5,73.5,2.1,10,"523,911"
Brunei Darussalam,200.94,205,76.1,95.3,,,21,0.733,0.915,0.838,1.9,78,27,9,384
Bulgaria,"3,848.93","3,597.21",71.7,98.3,,0.245,13,0.802,0.842,0.771,4.2,73.4,6.7,9,"3,817"
Burkina Faso,"8,542.51","8,425.34",26.5,,,0.596,560,0.187,0.559,0.331,3.4,55.4,0.1,3,"5,769"
Burundi,"4,364.49","4,210.68",11.3,66.6,8.3,0.478,970,0.353,0.48,0.316,5.2,50.4,0,5,176
Cambodia,"7,302.54","7,002.65",20.4,,2.1,0.5,290,0.502,0.68,0.523,1.7,63.1,0.3,13,"10,349"
Cameroon,"10,030.43","9,999.93",59.2,,3.7,0.639,600,0.52,0.499,0.482,1.3,51.6,0.3,11,"20,356"
Canada,"17,307.74","17,041.82",80.7,,,0.14,12,0.927,0.962,0.908,7.1,81,16.4,7,"310,134"
Cape Verde,252.42,248.16,61.8,84.8,5.9,,94,0.425,0.854,0.568,3.4,74.2,0.6,13,84
Central African Republic,"2,276.34","2,210.50",39.2,55.2,1.3,0.669,850,0.321,0.448,0.343,1.4,48.4,0.1,1,"22,665"
Chad,"5,793.86","5,731.64",28.2,33.6,3.2,0.735,"1,200",0.219,0.466,0.328,2.7,49.6,0,3,"11,683"
Chile,"8,731.45","8,538.08",89.2,98.6,,0.374,26,0.797,0.932,0.805,3.7,79.1,4.4,10,"16,156"
China,"647,933.95","699,631.38",47.8,94,,0.209,38,0.623,0.843,0.687,1.9,73.5,5.2,12,"201,334"
Colombia,"23,846.69","23,080.44",75.4,93.2,4.8,0.482,85,0.667,0.847,0.71,5.1,73.7,1.5,11,"60,701"
Comoros,374.2,379.74,28.3,74.2,,,340,0.368,0.648,0.433,1.9,61.1,0.2,13,4
Congo,"2,067.55","2,072.20",62.5,,,0.628,580,0.523,0.59,0.533,1.7,57.4,0.6,4,"22,435"
Congo,"34,056.79","33,700.79",35.9,66.8,,0.71,670,0.356,0.448,0.286,1.2,48.4,0,6,"154,758"
Costa Rica,"2,327.34","2,399.24",64.9,96.1,6.3,0.361,44,0.659,0.936,0.744,5.9,79.3,1.8,7,"2,559"
Croatia,"2,279.36","2,116.20",58,98.8,4.6,0.17,14,0.778,0.893,0.796,6.6,76.6,5.3,13,"1,913"
Cuba,"5,593.65","5,660.01",75.2,99.8,,0.337,53,0.876,0.933,0.776,9.9,79.1,2.8,18,"2,801"
Cyprus,546.28,570.28,70.5,97.9,,0.141,10,0.798,0.94,0.84,3,79.6,9.9,8,173
